,hour,week,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
154,10,7,3426.2841530054643,45.58469945355191,29.284153005464482,15.308743169398907,20.188524590163933,11.781420765027322,2.0737704918032787
155,11,7,3523.2349726775956,57.00273224043716,36.69945355191257,18.84426229508197,23.475409836065573,14.953551912568306,1.6639344262295082
156,12,7,3596.2322404371585,52.89890710382514,32.85792349726776,18.262295081967213,22.907103825136613,13.37431693989071,1.6557377049180328
157,13,7,3608.9890710382515,52.82786885245902,34.0792349726776,16.961748633879782,23.19672131147541,12.688524590163935,2.07103825136612
158,14,7,3677.844262295082,51.887978142076506,32.63934426229508,15.387978142076502,22.44808743169399,12.69672131147541,2.521857923497268
159,15,7,3820.0,54.60382513661202,35.01639344262295,17.560109289617486,21.59016393442623,14.21311475409836,2.226775956284153
160,16,7,4032.8360655737706,55.22950819672131,35.78688524590164,17.636612021857925,23.161202185792348,14.163934426229508,2.3469945355191255
161,17,7,4314.453551912568,53.68306010928962,34.423497267759565,17.30054644808743,23.439890710382514,12.939890710382514,2.2650273224043715
162,18,7,1569.6010928961748,39.18852459016394,24.316939890710383,13.57103825136612,19.401639344262296,8.426229508196721,1.530054644808743
163,19,7,1473.292349726776,36.79234972677595,23.502732240437158,12.013661202185792,17.691256830601095,8.71584699453552,1.7349726775956285
164,20,7,1397.3142076502731,35.76502732240437,23.30327868852459,13.699453551912569,18.221311475409838,7.30327868852459,1.5027322404371584
165,21,7,1362.6420765027322,38.442622950819676,25.882513661202186,14.73224043715847,18.934426229508198,9.081967213114755,2.1448087431693987
166,22,7,1308.308743169399,37.82513661202186,26.043715846994534,15.60655737704918,19.30327868852459,8.595628415300547,1.3524590163934427
167,23,7,1170.5054644808743,35.5655737704918,23.502732240437158,14.273224043715848,19.15846994535519,7.5109289617486334,1.7131147540983607
